Council,DEA,Elected,Name,Party,FirstPrefs,PartyGrouped,Category,DataCategory
Lisburn and Castlereagh,Killultagh,Y,"McCleave, Gary",Sinn Féin,994,SF,Nationalist,2019 Votes
Lisburn and Castlereagh,Killultagh,Y,"Tinsley, James",DUP,979,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Killultagh,,"Leathem, William",DUP,871,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Killultagh,Y,"McLernon, Ross",UUP,707,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Killultagh,,"Haydock, Ally",SDLP,695,SDLP,Nationalist,2019 Votes
Lisburn and Castlereagh,Killultagh,,"Redpath, Alexander",UUP,632,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Killultagh,,"Brown, Stuart",Independent,107,Independent,Other,2019 Votes
Lisburn and Castlereagh,Lisburn North,Y,"Martin, Stephen",Alliance,1483,AP,Other,2019 Votes
Lisburn and Castlereagh,Lisburn North,Y,"Craig, Jonathan",DUP,1187,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn North,Y,"McCarthy, Johnny",SDLP,852,SDLP,Nationalist,2019 Votes
Lisburn and Castlereagh,Lisburn North,Y,"Carson, Scott",DUP,846,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn North,Y,"Trimble, Nicholas",UUP,719,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn North,,"Duffy, Joe",Sinn Féin,654,SF,Nationalist,2019 Votes
Lisburn and Castlereagh,Lisburn North,Y,"Hughes, Stuart",UUP,578,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn North,,"Reynolds, Lindsay",DUP,425,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn North,,"Hynds, Gary",Conservatives,423,Conservatives,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn North,,"Love, Alan",UKIP,156,UKIP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,Y,"Grehan, Amanda",Alliance,929,AP,Other,2019 Votes
Lisburn and Castlereagh,Lisburn South,Y,"Palmer, Jenny",UUP,877,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,Y,"Ewing, Andrew",DUP,738,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,Y,"Givan, Alan",DUP,735,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,Y,"Mitchell, Tim",UUP,715,UUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,Y,"Porter, Paul",DUP,706,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,,"Corr, Brendan",SDLP,649,SDLP,Nationalist,2019 Votes
Lisburn and Castlereagh,Lisburn South,,"Orr, Jonny",Independent,534,Independent,Other,2019 Votes
Lisburn and Castlereagh,Lisburn South,,"Chittick, Alison",TUV,384,TUV,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,,"Walker, Rhoda",DUP,354,DUP,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,,"Taylor, Ricky",DVP,242,Other,Unionist,2019 Votes
Lisburn and Castlereagh,Lisburn South,,"Love, Helen",UKIP,99,UKIP,Unionist,2019 Votes
Mid and East Antrim,Ballymena,Y,"Henry, James",Independent,872,Independent,Other,2019 Votes
Mid and East Antrim,Ballymena,Y,"Reid, Eugene Martin",SDLP,848,SDLP,Nationalist,2019 Votes
Mid and East Antrim,Ballymena,Y,"Armstrong, Matthew",TUV,765,TUV,Unionist,2019 Votes
Mid and East Antrim,Ballymena,Y,"O'Lynn, Patricia",Alliance,578,AP,Other,2019 Votes
Mid and East Antrim,Ballymena,Y,"Carson, John",DUP,527,DUP,Unionist,2019 Votes
Mid and East Antrim,Ballymena,,"Hardy, Patrice",Sinn Féin,521,SF,Nationalist,2019 Votes
Mid and East Antrim,Ballymena,,"Glover, Reuben",DUP,498,DUP,Unionist,2019 Votes
Mid and East Antrim,Ballymena,Y,"Wales, Audrey",DUP,491,DUP,Unionist,2019 Votes
Mid and East Antrim,Ballymena,,"Nicholl, Stephen",UUP,485,UUP,Unionist,2019 Votes
Mid and East Antrim,Ballymena,Y,"Quigley, Rodney",Independent,433,Independent,Other,2019 Votes
Mid and East Antrim,Ballymena,,"Logan, William John",DUP,402,DUP,Unionist,2019 Votes
Mid and East Antrim,Ballymena,,"Gordon, Philip",TUV,286,TUV,Unionist,2019 Votes
Mid and East Antrim,Ballymena,,"Picken, Rab",UKIP,143,UKIP,Unionist,2019 Votes
Mid and East Antrim,Ballymena,,"Stewart, Conal Robert",Independent,107,Independent,Other,2019 Votes
Mid and East Antrim,Bannside,Y,"McDonald, Stewart Desmond",TUV,1504,TUV,Unionist,2019 Votes
Mid and East Antrim,Bannside,Y,"Gaston, Timothy",TUV,1433,TUV,Unionist,2019 Votes
Mid and East Antrim,Bannside,Y,"Friary, Ian",Sinn Féin,971,SF,Nationalist,2019 Votes
Mid and East Antrim,Bannside,Y,"McNeilly, William Robert",UUP,783,UUP,Unionist,2019 Votes
Mid and East Antrim,Bannside,,"Burnside, Philip",Alliance,750,AP,Other,2019 Votes
Mid and East Antrim,Bannside,,"Wright, Andrew Hugh",DUP,749,DUP,Unionist,2019 Votes
Mid and East Antrim,Bannside,Y,"Gordon, Thomas",DUP,744,DUP,Unionist,2019 Votes
Mid and East Antrim,Bannside,Y,"Nicholl, Tommy",DUP,690,DUP,Unionist,2019 Votes
Mid and East Antrim,Bannside,,"Minford, Jackson Bolton",UUP,449,UUP,Unionist,2019 Votes
Mid and East Antrim,Braid,Y,"Cherry, Robin",UUP,1084,UUP,Unionist,2019 Votes
Mid and East Antrim,Braid,Y,"Adger, Beth",DUP,975,DUP,Unionist,2019 Votes
Mid and East Antrim,Braid,Y,"Frew, Julie",DUP,926,DUP,Unionist,2019 Votes
Mid and East Antrim,Braid,Y,"Jamieson, Christopher",TUV,902,TUV,Unionist,2019 Votes
Mid and East Antrim,Braid,Y,"Collins, Brian",TUV,872,TUV,Unionist,2019 Votes
Mid and East Antrim,Braid,Y,"McCaughey, William",DUP,825,DUP,Unionist,2019 Votes
Mid and East Antrim,Braid,,"Turner, Keith James",UUP,800,UUP,Unionist,2019 Votes
Mid and East Antrim,Braid,Y,"Burnside, Muriel Elizabeth",Alliance,703,AP,Other,2019 Votes
Mid and East Antrim,Braid,,"McAllister, Collette",Sinn Féin,631,SF,Nationalist,2019 Votes
Mid and East Antrim,Braid,,"Hanna, Sam",DUP,605,DUP,Unionist,2019 Votes
Mid and East Antrim,Braid,,"Maguire, Marian",Independent,371,Independent,Other,2019 Votes
Mid and East Antrim,Braid,,"Browne, Roni",Independent,146,Independent,Other,2019 Votes
Mid and East Antrim,Carrick Castle,Y,"Gray, Lauren",Alliance,1210,AP,Other,2019 Votes
Mid and East Antrim,Carrick Castle,Y,"Ashe, Billy",DUP,1069,DUP,Unionist,2019 Votes
Mid and East Antrim,Carrick Castle,Y,"Johnston, Cheryl",DUP,953,DUP,Unionist,2019 Votes
Mid and East Antrim,Carrick Castle,Y,"Stewart, Robin",UUP,813,UUP,Unionist,2019 Votes
Mid and East Antrim,Carrick Castle,Y,"McDermott, John",UUP,445,UUP,Unionist,2019 Votes
Mid and East Antrim,Carrick Castle,,"Jordan, Noel",Independent,431,Independent,Other,2019 Votes
Mid and East Antrim,Carrick Castle,,"Harvey, Si",DVP,265,Other,Unionist,2019 Votes
Mid and East Antrim,Carrick Castle,,"Wady, Nicholas",Independent,244,Independent,Other,2019 Votes
Mid and East Antrim,Carrick Castle,,"McCaw, Jim",PUP,119,PUP,Unionist,2019 Votes
Mid and East Antrim,Carrick Castle,,"Kennedy, John",UKIP,104,UKIP,Unionist,2019 Votes
Mid and East Antrim,Coast Road,Y,"Mulvenna, Gerardine",Alliance,1217,AP,Other,2019 Votes
Mid and East Antrim,Coast Road,Y,"Clarke, Andrew",DUP,973,DUP,Unionist,2019 Votes
Mid and East Antrim,Coast Road,Y,"McKeown, James",Sinn Féin,873,SF,Nationalist,2019 Votes
Mid and East Antrim,Coast Road,Y,"Smyth, Angela",DUP,764,DUP,Unionist,2019 Votes
Mid and East Antrim,Coast Road,Y,"Morrow, Maureen",UUP,728,UUP,Unionist,2019 Votes
Mid and East Antrim,Coast Road,,"Wilson, Ruth",TUV,601,TUV,Unionist,2019 Votes
Mid and East Antrim,Coast Road,,"Wilson, Martin",Independent,460,Independent,Other,2019 Votes
Mid and East Antrim,Knockagh,Y,"Williams, Noel",Alliance,1173,AP,Other,2019 Votes
Mid and East Antrim,Knockagh,Y,"Johnston, Peter",DUP,967,DUP,Unionist,2019 Votes
Mid and East Antrim,Knockagh,Y,"Collins, Marc",DUP,846,DUP,Unionist,2019 Votes
Mid and East Antrim,Knockagh,Y,"Hadden, Bobby",Independent,798,Independent,Other,2019 Votes
Mid and East Antrim,Knockagh,Y,"Wilson, Andrew",UUP,782,UUP,Unionist,2019 Votes
Mid and East Antrim,Knockagh,,"Millar, Lindsay",UUP,624,UUP,Unionist,2019 Votes
Mid and East Antrim,Knockagh,,"Beattie, May",TUV,328,TUV,Unionist,2019 Votes
Mid and East Antrim,Knockagh,,"Barnett, David",PUP,185,PUP,Unionist,2019 Votes
Mid and East Antrim,Larne Lough,Y,"McKeen, Gregg",DUP,1166,DUP,Unionist,2019 Votes
Mid and East Antrim,Larne Lough,Y,"Donnelly, Danny",Alliance,1057,AP,Other,2019 Votes
Mid and East Antrim,Larne Lough,Y,"McKinty, Mark Richard William",UUP,983,UUP,Unionist,2019 Votes
Mid and East Antrim,Larne Lough,Y,"Reid, Paul",DUP,806,DUP,Unionist,2019 Votes
Mid and East Antrim,Larne Lough,Y,"Logan, Robert",Alliance,719,AP,Other,2019 Votes
Mid and East Antrim,Larne Lough,,"Wilson, Andy",UUP,564,UUP,Unionist,2019 Votes
Mid and East Antrim,Larne Lough,,"Strange, James",TUV,435,TUV,Unionist,2019 Votes
Mid and East Antrim,Larne Lough,,"Robinson, Robert",Green,256,GP,Other,2019 Votes
Mid Ulster,Carntogher,Y,"McGuigan, Brian",Sinn Féin,1406,SF,Nationalist,2019 Votes
Mid Ulster,Carntogher,Y,"Black, Kyle",DUP,1228,DUP,Unionist,2019 Votes
Mid Ulster,Carntogher,Y,"McPeake, Sean",Sinn Féin,1164,SF,Nationalist,2019 Votes
Mid Ulster,Carntogher,Y,"Kearney, Martin",SDLP,1071,SDLP,Nationalist,2019 Votes
Mid Ulster,Carntogher,Y,"Groogan, Cora",Sinn Féin,990,SF,Nationalist,2019 Votes
Mid Ulster,Carntogher,,"Henry, Paul",Sinn Féin,763,SF,Nationalist,2019 Votes
Mid Ulster,Carntogher,,"Ui Raifeartaigh, Padraigin",Aontú,632,Aontú,Nationalist,2019 Votes
Mid Ulster,Carntogher,,"Reid, Christopher",UUP,555,UUP,Unionist,2019 Votes
Mid Ulster,Carntogher,,"Armour, James",Independent,138,Independent,Other,2019 Votes
Mid Ulster,Clogher Valley,Y,"Burton, Frances",DUP,1891,DUP,Unionist,2019 Votes
Mid Ulster,Clogher Valley,Y,"McAleer, Sharon",SDLP,1635,SDLP,Nationalist,2019 Votes
Mid Ulster,Clogher Valley,Y,"McGuigan, Sean",Sinn Féin,1494,SF,Nationalist,2019 Votes
Mid Ulster,Clogher Valley,Y,"Gildernew, Phelim",Sinn Féin,1352,SF,Nationalist,2019 Votes
Mid Ulster,Clogher Valley,Y,"Robinson, Wills",DUP,1083,DUP,Unionist,2019 Votes
Mid Ulster,Clogher Valley,Y,"Graham, Meta",UUP,990,UUP,Unionist,2019 Votes
Mid Ulster,Clogher Valley,,"Mulligan, Robert Louis",UUP,650,UUP,Unionist,2019 Votes
Mid Ulster,Cookstown,Y,"Mallaghan, Cathal",Sinn Féin,1710,SF,Nationalist,2019 Votes
Mid Ulster,Cookstown,Y,"McNamee, John Fitzgerald",Sinn Féin,1369,SF,Nationalist,2019 Votes
Mid Ulster,Cookstown,Y,"Hughes, Kerri",SDLP,1339,SDLP,Nationalist,2019 Votes
Mid Ulster,Cookstown,Y,"Buchanan, Wilbert",DUP,1225,DUP,Unionist,2019 Votes
Mid Ulster,Cookstown,Y,"Wilson, Trevor James",UUP,1041,UUP,Unionist,2019 Votes
Mid Ulster,Cookstown,Y,"Bell, Gavin",Sinn Féin,840,SF,Nationalist,2019 Votes
Mid Ulster,Cookstown,Y,"Glasgow, Mark",UUP,793,UUP,Unionist,2019 Votes
Mid Ulster,Cookstown,,"Neville, Grace",DUP,694,DUP,Unionist,2019 Votes
Mid Ulster,Cookstown,,"Day, Alan",TUV,230,TUV,Unionist,2019 Votes
Mid Ulster,Dungannon,Y,"Cuthbertson, Clement",DUP,1833,DUP,Unionist,2019 Votes
Mid Ulster,Dungannon,Y,"Monteith, Barry",Independent Nationalist,1414,Independent Nationalist,Nationalist,2019 Votes
Mid Ulster,Dungannon,Y,"Molloy, Dominic Joseph",Sinn Féin,995,SF,Nationalist,2019 Votes
Mid Ulster,Dungannon,Y,"Ashton, Kim",DUP,807,DUP,Unionist,2019 Votes
Mid Ulster,Dungannon,,"Varsani, Deirdre",Sinn Féin,718,SF,Nationalist,2019 Votes
Mid Ulster,Dungannon,Y,"Mullen, Denise",SDLP,710,SDLP,Nationalist,2019 Votes
Mid Ulster,Dungannon,Y,"Cuddy, Walter",UUP,607,UUP,Unionist,2019 Votes
Mid Ulster,Dungannon,,"McNeill, Kim",UUP,434,UUP,Unionist,2019 Votes
Mid Ulster,Dungannon,,"Boyle, Mel",Alliance,431,AP,Other,2019 Votes
Mid Ulster,Dungannon,,"Bowen, Niall",Independent,345,Independent,Other,2019 Votes
Mid Ulster,Magherafelt,Y,"Totten, Darren",Sinn Féin,1665,SF,Nationalist,2019 Votes
Mid Ulster,Magherafelt,Y,"Brown, Wesley",DUP,1218,DUP,Unionist,2019 Votes
Mid Ulster,Magherafelt,Y,"McFlynn, Christine",SDLP,1206,SDLP,Nationalist,2019 Votes
Mid Ulster,Magherafelt,Y,"McLean, Paul",DUP,1203,DUP,Unionist,2019 Votes
Mid Ulster,Magherafelt,Y,"Clarke, Sean",Sinn Féin,1058,SF,Nationalist,2019 Votes
Mid Ulster,Magherafelt,,"Shiels, George",UUP,996,UUP,Unionist,2019 Votes
Mid Ulster,Magherafelt,,"Donnelly, Kevin Padraig",Aontú,214,Aontú,Nationalist,2019 Votes
Mid Ulster,Moyola,Y,"Milne, Ian Patrick",Sinn Féin,1710,SF,Nationalist,2019 Votes
Mid Ulster,Moyola,Y,"Forde, Anne",DUP,1619,DUP,Unionist,2019 Votes
Mid Ulster,Moyola,Y,"Elattar, Catherine",Sinn Féin,1388,SF,Nationalist,2019 Votes
Mid Ulster,Moyola,Y,"McKinney, Derek",UUP,937,UUP,Unionist,2019 Votes
Mid Ulster,Moyola,,"Johnston, Denise",SDLP,920,SDLP,Nationalist,2019 Votes
Mid Ulster,Moyola,Y,"McPeake, Donal",Sinn Féin,906,SF,Nationalist,2019 Votes
Mid Ulster,Moyola,,"Bradley, Aidan",Alliance,298,AP,Other,2019 Votes
Mid Ulster,Moyola,,"Scullion, Hugh Francis",Workers' Party,95,Workers' Party,Socialist,2019 Votes
Mid Ulster,Torrent,Y,"Quinn, Malachy Joseph",SDLP,1631,SDLP,Nationalist,2019 Votes
Mid Ulster,Torrent,Y,"Kerr, Dan",Independent Nationalist,1525,Independent Nationalist,Nationalist,2019 Votes
Mid Ulster,Torrent,Y,"McGinley, Ronan",Sinn Féin,1173,SF,Nationalist,2019 Votes
Mid Ulster,Torrent,Y,"Colvin, Robert",UUP,1018,UUP,Unionist,2019 Votes
Mid Ulster,Torrent,Y,"Doris, Niamh",Sinn Féin,1002,SF,Nationalist,2019 Votes
Mid Ulster,Torrent,Y,"Oneill, Joe",Sinn Féin,994,SF,Nationalist,2019 Votes
Mid Ulster,Torrent,,"McCrea, Ian",DUP,899,DUP,Unionist,2019 Votes
Mid Ulster,Torrent,,"Gillespie, Mickey",Sinn Féin,856,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,Y,"Tinnelly, Jarlath",Independent,1412,Independent,Other,2019 Votes
"Newry, Mourne and Down",Crotlieve,Y,"O'Hare, Gerry",Sinn Féin,1286,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,Y,"Gibbons, Mark",Independent,1189,Independent,Other,2019 Votes
"Newry, Mourne and Down",Crotlieve,Y,"McAteer, Declan",SDLP,1175,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,Y,"McKevitt, Karen",SDLP,1116,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,Y,"Ruane, Mickey",Sinn Féin,812,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,,"McMahon, Oksana",Sinn Féin,809,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,,"Carr, Michael",SDLP,808,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,,"Boylan, Jim",Independent,788,Independent,Other,2019 Votes
"Newry, Mourne and Down",Crotlieve,,"Lowry, Joshua",UUP,712,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",Crotlieve,,"Tinnelly, Mary",Sinn Féin,519,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Crotlieve,,"McGreevy, Lorcan",Alliance,483,AP,Other,2019 Votes
"Newry, Mourne and Down",Crotlieve,,"McCullough, Wilma",DUP,371,DUP,Unionist,2019 Votes
"Newry, Mourne and Down",Downpatrick,Y,"Sharvin, Gareth",SDLP,1395,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Downpatrick,Y,"Enright, Cadogan",Independent Nationalist,1052,Independent Nationalist,Nationalist,2019 Votes
"Newry, Mourne and Down",Downpatrick,Y,"Hanlon, Oonagh",Sinn Féin,1032,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Downpatrick,Y,"Curran, Dermot",SDLP,940,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Downpatrick,,"Madden, Jordan",Sinn Féin,833,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Downpatrick,Y,"Trainor, John",SDLP,664,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Downpatrick,,"Digney, Macartan",Aontú,475,Aontú,Nationalist,2019 Votes
"Newry, Mourne and Down",Downpatrick,,"Laird, Tiernan",Alliance,375,AP,Other,2019 Votes
"Newry, Mourne and Down",Downpatrick,,"Burgess, Alex",UUP,345,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",Downpatrick,,"Savage, James",DUP,149,DUP,Unionist,2019 Votes
"Newry, Mourne and Down",Downpatrick,,"Kennedy, Jamie",Green,128,GP,Other,2019 Votes
"Newry, Mourne and Down",Newry,Y,"Malone, Gavin",Independent,2296,Independent,Other,2019 Votes
"Newry, Mourne and Down",Newry,Y,"Kimmins, Liz",Sinn Féin,1374,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Newry,Y,"Savage, Michael",SDLP,1231,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Newry,Y,"Casey, Charlie",Sinn Féin,1230,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Newry,Y,"Harte, Valerie",Sinn Féin,1045,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Newry,Y,"Stokes, Gary John",SDLP,878,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Newry,,"McAllister, Sarah Jane",Sinn Féin,784,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Newry,,"Young, Helena",Alliance,721,AP,Other,2019 Votes
"Newry, Mourne and Down",Newry,,"McGaffin, Ricky",UUP,341,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",Rowallane,Y,"Brown, Patrick",Alliance,1416,AP,Other,2019 Votes
"Newry, Mourne and Down",Rowallane,Y,"Harvey, Harry",DUP,1265,DUP,Unionist,2019 Votes
"Newry, Mourne and Down",Rowallane,Y,"Andrews, Terry",SDLP,1211,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Rowallane,Y,"Walker, William",DUP,985,DUP,Unionist,2019 Votes
"Newry, Mourne and Down",Rowallane,Y,"Burgess, Robert",UUP,842,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",Rowallane,,"Lyons, Walter",UUP,667,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",Rowallane,,"Cleary, Marianne",Sinn Féin,622,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Rowallane,,"Todd, Martyn",Independent,477,Independent,Other,2019 Votes
"Newry, Mourne and Down",Rowallane,,"Cairns, Emma",Green,182,GP,Other,2019 Votes
"Newry, Mourne and Down",Rowallane,,"Mulhern, Liam",Aontú,99,Aontú,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,Y,"Lewis, Alan",UUP,1303,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,Y,"Mason, Cathy",Sinn Féin,1069,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,Y,"Howell, Roisin",Sinn Féin,1035,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,,"Rice, John",Sinn Féin,884,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,Y,"Gallagher, Hugh",SDLP,880,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,,"Hanna, Maynard",DUP,868,DUP,Unionist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,Y,"Bain, Gregory",Alliance,863,AP,Other,2019 Votes
"Newry, Mourne and Down",Slieve Croob,,"Murnin, Mark",SDLP,796,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Croob,,"Harkin, Tracy",Aontú,481,Aontú,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,Y,"Hearty, Terry",Sinn Féin,1876,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,Y,"Larkin, Mickey",Sinn Féin,1646,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,Y,"Byrne, Pete",SDLP,1643,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,Y,"Magennis, Oonagh",Sinn Féin,1622,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,Y,"Mulgrew, Roisin",Sinn Féin,1362,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,Y,"O'Muiri, Barra",Sinn Féin,1351,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,Y,"Taylor, David Samuel",UUP,1287,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,,"Loughran, Kate",SDLP,1059,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,,"Gazdag, Balazs",Alliance,361,AP,Other,2019 Votes
"Newry, Mourne and Down",Slieve Gullion,,"Henry, Linda",DUP,315,DUP,Unionist,2019 Votes
"Newry, Mourne and Down",The Mournes,Y,"Hanna, Glyn",DUP,1944,DUP,Unionist,2019 Votes
"Newry, Mourne and Down",The Mournes,Y,"Doran, Sean",Sinn Féin,1885,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",The Mournes,Y,"Devlin, Laura",SDLP,1572,SDLP,Nationalist,2019 Votes
"Newry, Mourne and Down",The Mournes,Y,"McKee, Harold",UUP,1455,UUP,Unionist,2019 Votes
"Newry, Mourne and Down",The Mournes,Y,"Reilly, Henry",Independent Unionist,1447,Independent Unionist,Unionist,2019 Votes
"Newry, Mourne and Down",The Mournes,Y,"Clarke, Willie",Sinn Féin,1154,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",The Mournes,Y,"McEvoy, Leeanne",Sinn Féin,1097,SF,Nationalist,2019 Votes
"Newry, Mourne and Down",The Mournes,,"McMurray, Andrew",Alliance,943,AP,Other,2019 Votes
"Newry, Mourne and Down",The Mournes,,"Quinn, Brian",SDLP,607,SDLP,Nationalist,2019 Votes
North Down and Ards,Ards Peninsula,Y,"Adair, Robert Hugh",DUP,2189,DUP,Unionist,2019 Votes
North Down and Ards,Ards Peninsula,Y,"Boyle, Joe",SDLP,1621,SDLP,Nationalist,2019 Votes
North Down and Ards,Ards Peninsula,Y,"McAlpine, Lorna",Alliance,832,AP,Other,2019 Votes
North Down and Ards,Ards Peninsula,Y,"Carson, Angus",UUP,832,UUP,Unionist,2019 Votes
North Down and Ards,Ards Peninsula,Y,"Thompson, Eddie",DUP,821,DUP,Unionist,2019 Votes
North Down and Ards,Ards Peninsula,Y,"Edmund, Nigel",DUP,735,DUP,Unionist,2019 Votes
North Down and Ards,Ards Peninsula,,"Strong, Michele Anne",Green,319,GP,Other,2019 Votes
North Down and Ards,Ards Peninsula,,"Davey, Matt",UKIP,234,UKIP,Unionist,2019 Votes
North Down and Ards,Ards Peninsula,,"McKibbin, Murdoch",Sinn Féin,196,SF,Nationalist,2019 Votes
North Down and Ards,Ards Peninsula,,"Mullen, Tim",Conservatives,58,Conservatives,Unionist,2019 Votes
North Down and Ards,Bangor Central,Y,"Douglas, Karen",Alliance,1346,AP,Other,2019 Votes
North Down and Ards,Bangor Central,Y,"Dunlop, Stephen",Green,1046,GP,Other,2019 Votes
North Down and Ards,Bangor Central,Y,"Irvine, Wesley Graham",DUP,878,DUP,Unionist,2019 Votes
North Down and Ards,Bangor Central,Y,"Cathcart, Alistair John",DUP,787,DUP,Unionist,2019 Votes
North Down and Ards,Bangor Central,Y,"Blaney, Craig",UUP,757,UUP,Unionist,2019 Votes
North Down and Ards,Bangor Central,,"Henry, Ian",UUP,542,UUP,Unionist,2019 Votes
North Down and Ards,Bangor Central,Y,"McKimm, Ray",Independent,503,Independent,Other,2019 Votes
North Down and Ards,Bangor Central,,"Robinson, Noelle",Independent,423,Independent,Other,2019 Votes
North Down and Ards,Bangor Central,,"Lourenço, Maria",Independent,362,Independent,Other,2019 Votes
North Down and Ards,Bangor Central,,"Cochrane, James",DUP,255,DUP,Unionist,2019 Votes
North Down and Ards,Bangor Central,,"Montgomery, John",UKIP,215,UKIP,Unionist,2019 Votes
North Down and Ards,Bangor Central,,"Shivers, Frank",Conservatives,210,Conservatives,Unionist,2019 Votes
North Down and Ards,Bangor Central,,"Reynolds, Gavan",Independent,33,Independent,Other,2019 Votes
North Down and Ards,Bangor East and Donaghadee,Y,"Brooks, Mark",UUP,1327,UUP,Unionist,2019 Votes
North Down and Ards,Bangor East and Donaghadee,Y,"Walker, Gavin",Alliance,1303,AP,Other,2019 Votes
North Down and Ards,Bangor East and Donaghadee,Y,"Chambers, David Alan",UUP,963,UUP,Unionist,2019 Votes
North Down and Ards,Bangor East and Donaghadee,Y,"Martin, Peter James",DUP,902,DUP,Unionist,2019 Votes
North Down and Ards,Bangor East and Donaghadee,Y,"Smith, Tom",Independent Unionist,765,Independent Unionist,Unionist,2019 Votes
North Down and Ards,Bangor East and Donaghadee,Y,"Keery, Bill",DUP,764,DUP,Unionist,2019 Votes
North Down and Ards,Bangor East and Donaghadee,,"McNamara, Hannah Irwin",Green,735,GP,Other,2019 Votes
North Down and Ards,Bangor East and Donaghadee,,"Macarthur, Janice",DUP,702,DUP,Unionist,2019 Votes
North Down and Ards,Bangor East and Donaghadee,,"Leeman, Paul",Conservatives,137,Conservatives,Unionist,2019 Votes
North Down and Ards,Bangor West,Y,"Egan, Connie",Alliance,1151,AP,Other,2019 Votes
North Down and Ards,Bangor West,Y,"Gilmour, Jennifer Mary",DUP,990,DUP,Unionist,2019 Votes
North Down and Ards,Bangor West,Y,"Smith, Marion",UUP,982,UUP,Unionist,2019 Votes
North Down and Ards,Bangor West,Y,"McKee, Barry",Green,949,GP,Other,2019 Votes
